index,prediction
1,[[13.593054]]
2,[[16.572205]]
3,[[13.289294]]
4,[[14.917056]]
5,[[13.806665]]
6,[[12.597423]]
7,[[18.691984]]
8,[[15.954677]]
9,[[15.340162]]
10,[[15.548329]]
11,[[17.156897]]
12,[[17.193922]]
13,[[16.500248]]
14,[[14.691054]]
15,[[12.807156]]
16,[[15.444532]]
17,[[16.866446]]
18,[[17.42698]]
19,[[18.689802]]
20,[[14.436649]]
21,[[13.209443]]
22,[[13.135204]]
23,[[12.664208]]
24,[[14.217216]]
25,[[13.279308]]
26,[[13.825957]]
27,[[13.994343]]
28,[[11.897655]]
29,[[11.997804]]
30,[[11.218602]]
31,[[14.467954]]
32,[[12.054452]]
33,[[11.613218]]
34,[[11.362667]]
35,[[14.497842]]
36,[[12.499317]]
37,[[13.86622]]
38,[[12.269197]]
39,[[10.624983]]
40,[[12.775564]]
41,[[12.050317]]
42,[[9.630278]]
43,[[9.095257]]
44,[[14.4108]]
45,[[10.58182]]
46,[[13.164896]]
47,[[12.150454]]
48,[[4.9585395]]
49,[[19.00871]]
50,[[12.768589]]
51,[[11.740079]]
52,[[12.12781]]
53,[[10.029028]]
54,[[7.9595103]]
55,[[11.059797]]
56,[[14.762546]]
57,[[14.952131]]
58,[[13.23687]]
59,[[11.43556]]
60,[[11.237294]]
61,[[16.566656]]
62,[[17.183361]]
63,[[11.751971]]
64,[[13.539223]]
65,[[16.126604]]
66,[[16.197569]]
67,[[21.057209]]
68,[[23.188055]]
69,[[17.10346]]
70,[[11.875149]]
71,[[13.852818]]
72,[[10.969236]]
73,[[17.021711]]
74,[[13.714183]]
75,[[20.234509]]
76,[[17.674463]]
77,[[17.394695]]
78,[[13.985185]]
79,[[15.91982]]
80,[[14.882207]]
81,[[14.1881895]]
82,[[14.192599]]
83,[[15.373306]]
84,[[18.506844]]
85,[[15.102133]]
86,[[17.960705]]
87,[[15.670528]]
88,[[11.094655]]
89,[[7.97731]]
90,[[18.556404]]
91,[[7.9219866]]
92,[[9.326072]]
93,[[8.461526]]
94,[[8.527783]]
95,[[17.6502]]
96,[[10.090516]]
97,[[15.134387]]
98,[[9.905638]]
99,[[10.102999]]
100,[[9.56814]]
101,[[8.645851]]
102,[[8.896589]]
103,[[9.336368]]
104,[[9.970607]]
105,[[9.540699]]
106,[[10.949742]]
107,[[10.086926]]
108,[[9.220623]]
109,[[9.048736]]
110,[[10.025807]]
111,[[14.842069]]
112,[[10.278535]]
113,[[13.958889]]
114,[[12.666017]]
115,[[11.365295]]
116,[[14.234295]]
117,[[19.80247]]
118,[[16.089394]]
119,[[17.730883]]
120,[[14.735079]]
121,[[12.3991585]]
122,[[12.8075905]]
123,[[10.461917]]
124,[[11.112586]]
125,[[10.256872]]
126,[[10.462164]]
127,[[16.553982]]
128,[[16.848057]]
129,[[20.268368]]
130,[[15.38727]]
131,[[9.8769455]]
132,[[17.021309]]
133,[[15.42343]]
134,[[18.497551]]
135,[[21.714115]]
136,[[10.447439]]
137,[[9.677585]]
138,[[11.073628]]
139,[[14.811186]]
140,[[10.7864485]]
141,[[15.859564]]
142,[[18.981556]]
143,[[13.922914]]
144,[[11.582684]]
145,[[10.473093]]
146,[[7.72293]]
147,[[11.945804]]
148,[[10.352445]]
149,[[12.224753]]
150,[[8.68267]]
151,[[10.145281]]
152,[[18.351135]]
153,[[17.843477]]
154,[[17.190325]]
155,[[10.49125]]
156,[[13.4160185]]
157,[[12.57444]]
158,[[14.616422]]
159,[[14.426409]]
160,[[13.167056]]
161,[[15.331997]]
162,[[9.594166]]
163,[[12.823208]]
164,[[13.176029]]
165,[[14.146689]]
166,[[17.927639]]
167,[[22.128365]]
168,[[18.606672]]
169,[[20.054865]]
170,[[14.1472435]]
171,[[15.991416]]
172,[[11.925202]]
173,[[12.881042]]
174,[[17.809963]]
175,[[10.821074]]
176,[[15.153501]]
177,[[16.521194]]
178,[[19.100927]]
179,[[19.646296]]
180,[[18.410448]]
181,[[18.649935]]
182,[[14.405855]]
183,[[16.136168]]
184,[[13.641037]]
185,[[15.735199]]
186,[[15.933373]]
187,[[14.942716]]
188,[[16.711557]]
189,[[11.244699]]
190,[[13.795295]]
191,[[15.551495]]
192,[[14.857994]]
193,[[16.768705]]
194,[[16.638891]]
195,[[15.749633]]
196,[[16.330803]]
197,[[15.828444]]
198,[[15.034427]]
199,[[15.512799]]
200,[[16.66761]]
201,[[14.505157]]
202,[[15.429046]]
203,[[18.06641]]
204,[[15.93461]]
205,[[17.07587]]
206,[[15.23609]]
207,[[13.472194]]
208,[[13.212983]]
209,[[13.042967]]
210,[[12.947145]]
211,[[15.619417]]
212,[[15.605652]]
213,[[16.068735]]
214,[[19.587479]]
215,[[20.23334]]
216,[[18.720675]]
217,[[18.264095]]
218,[[18.739475]]
219,[[20.992102]]
220,[[16.309238]]
221,[[18.385426]]
222,[[20.072767]]
223,[[19.839104]]
224,[[22.005646]]
225,[[16.978226]]
226,[[21.602245]]
227,[[14.498764]]
228,[[14.427036]]
229,[[18.2073]]
230,[[17.560694]]
231,[[20.128345]]
232,[[17.583252]]
233,[[18.357988]]
234,[[18.381168]]
235,[[18.400473]]
236,[[15.7841015]]
237,[[6.899478]]
238,[[10.856471]]
239,[[16.054129]]
240,[[13.384316]]
241,[[13.810693]]
242,[[13.2712]]
243,[[13.817557]]
244,[[14.215473]]
245,[[8.941558]]
246,[[13.052486]]
247,[[9.06063]]
248,[[10.849935]]
249,[[15.949832]]
250,[[15.335821]]
251,[[14.435016]]
252,[[17.057867]]
253,[[17.46544]]
254,[[17.461786]]
255,[[18.442139]]
256,[[13.388908]]
257,[[12.437061]]
258,[[13.008088]]
259,[[14.440785]]
260,[[13.483857]]
261,[[15.243377]]
262,[[14.113085]]
263,[[13.109449]]
264,[[10.908112]]
265,[[14.469912]]
266,[[14.364619]]
267,[[13.898666]]
268,[[13.768922]]
269,[[14.220048]]
270,[[14.866123]]
271,[[15.228342]]
272,[[12.16316]]
273,[[16.647953]]
274,[[16.076065]]
275,[[17.702332]]
276,[[19.731804]]
277,[[18.470144]]
278,[[18.140982]]
279,[[18.31749]]
280,[[19.78552]]
281,[[16.289995]]
282,[[17.701048]]
283,[[20.122196]]
284,[[14.969176]]
285,[[14.274829]]
286,[[15.027871]]
287,[[14.419161]]
288,[[16.428638]]
289,[[14.106161]]
290,[[13.582872]]
291,[[11.535174]]
292,[[12.645333]]
293,[[12.977703]]
294,[[11.987994]]
295,[[12.495762]]
296,[[12.174282]]
297,[[11.499437]]
298,[[11.944799]]
299,[[12.312567]]
300,[[12.55941]]
301,[[10.117897]]
302,[[12.400524]]
303,[[10.874691]]
304,[[12.230753]]
305,[[11.220186]]
306,[[9.941244]]
307,[[9.824919]]
308,[[12.376186]]
309,[[11.906963]]
310,[[10.936009]]
311,[[12.880571]]
312,[[12.497838]]
313,[[12.986192]]
314,[[11.058507]]
315,[[11.930353]]
316,[[12.172691]]
317,[[10.552732]]
318,[[9.897292]]
319,[[9.814682]]
320,[[10.517818]]
321,[[11.363773]]
322,[[12.538102]]
323,[[12.162322]]
324,[[12.490653]]
325,[[12.746287]]
326,[[12.830156]]
327,[[12.595185]]
328,[[12.905425]]
329,[[12.857223]]
330,[[11.93329]]
331,[[12.128582]]
332,[[11.570236]]
333,[[10.503763]]
334,[[12.69415]]
335,[[13.033026]]
336,[[11.992556]]
337,[[12.713822]]
338,[[12.6138935]]
339,[[11.974745]]
340,[[10.809524]]
341,[[10.669611]]
342,[[11.81407]]
343,[[12.440451]]
344,[[13.389687]]
345,[[13.288829]]
346,[[13.483139]]
347,[[13.3216505]]
348,[[12.91336]]
349,[[12.624655]]
350,[[13.437983]]
351,[[13.289983]]
352,[[13.025999]]
353,[[13.326637]]
354,[[13.57627]]
355,[[10.147529]]
356,[[12.651413]]
357,[[13.207878]]
358,[[13.368381]]
359,[[13.73341]]
360,[[13.534045]]
361,[[14.198441]]
362,[[13.903732]]
363,[[12.120345]]
364,[[12.018773]]
365,[[12.628505]]
366,[[13.357997]]
367,[[12.8054]]
368,[[13.370017]]
369,[[12.567158]]
370,[[13.259003]]
371,[[13.072064]]
372,[[13.486131]]
373,[[14.914626]]
374,[[15.455631]]
375,[[11.931266]]
376,[[13.405485]]
377,[[12.568381]]
378,[[12.23493]]
379,[[11.835707]]
380,[[11.791026]]
381,[[12.068667]]
382,[[12.6698065]]
383,[[12.35663]]
384,[[10.601479]]
385,[[9.609861]]
386,[[11.985497]]
387,[[12.201324]]
388,[[16.150427]]
389,[[10.698732]]
390,[[12.225822]]
391,[[11.314937]]
392,[[14.700883]]
393,[[10.302055]]
394,[[11.538165]]
395,[[14.033186]]
396,[[14.345022]]
397,[[15.604621]]
398,[[12.45926]]
399,[[12.899073]]
400,[[12.456797]]
401,[[14.953939]]
402,[[13.003882]]
403,[[12.181281]]
404,[[11.258911]]
405,[[13.486367]]
406,[[12.713488]]
407,[[11.251845]]
408,[[12.554785]]
409,[[9.504261]]
410,[[9.916202]]
411,[[12.759378]]
412,[[11.420143]]
413,[[9.358674]]
414,[[6.7464786]]
415,[[9.8170185]]
416,[[10.542186]]
417,[[11.974578]]
418,[[12.325411]]
419,[[12.57098]]
420,[[10.823147]]
421,[[12.771924]]
422,[[11.325446]]
423,[[11.2038355]]
424,[[11.684581]]
425,[[10.329753]]
426,[[10.902755]]
427,[[12.574662]]
428,[[12.988625]]
429,[[12.717793]]
430,[[10.895072]]
431,[[10.549948]]
432,[[9.211874]]
433,[[10.453581]]
434,[[9.534357]]
435,[[10.791216]]
436,[[10.917584]]
437,[[10.572468]]
438,[[9.311207]]
439,[[10.356217]]
440,[[12.637638]]
441,[[11.553118]]
442,[[9.645384]]
443,[[9.572721]]
444,[[9.085689]]
445,[[10.37297]]
446,[[13.671624]]
447,[[15.309409]]
448,[[17.843248]]
449,[[17.263811]]
450,[[15.372426]]
451,[[13.087102]]
452,[[13.997984]]
453,[[16.50261]]
454,[[18.54748]]
455,[[17.114464]]
456,[[16.967928]]
457,[[20.487854]]
458,[[22.582212]]
459,[[22.657724]]
460,[[22.79492]]
461,[[21.158045]]
462,[[21.452438]]
463,[[19.756372]]
464,[[21.890741]]
465,[[21.318989]]
466,[[19.345715]]
467,[[22.155752]]
468,[[23.380907]]
469,[[22.65308]]
470,[[21.114214]]
471,[[23.991776]]
472,[[23.60716]]
473,[[24.04936]]
474,[[23.677317]]
475,[[22.842218]]
476,[[21.986002]]
477,[[20.864855]]
478,[[23.06927]]
479,[[23.768091]]
480,[[24.307133]]
481,[[25.30459]]
482,[[24.440668]]
483,[[24.951462]]
484,[[24.417109]]
485,[[25.312809]]
486,[[25.483765]]
487,[[25.375658]]
488,[[24.900715]]
489,[[25.617794]]
490,[[25.40135]]
491,[[25.295164]]
492,[[20.391348]]
493,[[25.116463]]
494,[[24.151556]]
495,[[25.261961]]
496,[[24.594357]]
497,[[24.14582]]
498,[[23.230497]]
499,[[21.704084]]
500,[[23.643583]]
501,[[17.697365]]
502,[[19.314917]]
503,[[14.054059]]
504,[[14.431422]]
505,[[15.339348]]
506,[[18.543793]]
507,[[23.628437]]
508,[[22.545979]]
509,[[24.580887]]
510,[[20.166393]]
511,[[17.566515]]
512,[[17.18009]]
513,[[18.933565]]
514,[[21.973663]]
515,[[22.766335]]
516,[[22.084656]]
517,[[24.713877]]
518,[[23.754383]]
519,[[18.269974]]
520,[[20.708633]]
521,[[19.103584]]
522,[[19.417751]]
523,[[20.206993]]
524,[[17.495712]]
525,[[17.2395]]
526,[[20.424032]]
527,[[16.180237]]
528,[[11.74006]]
529,[[13.82356]]
530,[[13.519453]]
531,[[16.409523]]
532,[[11.48286]]
533,[[12.094638]]
534,[[7.189225]]
535,[[8.084051]]
536,[[10.800006]]
537,[[13.070235]]
538,[[10.082436]]
539,[[12.927462]]
540,[[11.754833]]
541,[[11.619429]]
542,[[11.641326]]
543,[[12.088914]]
544,[[11.669535]]
545,[[11.9268675]]
546,[[11.46227]]
547,[[10.738745]]
548,[[10.853565]]
549,[[10.537547]]
550,[[7.901196]]
551,[[8.578529]]
552,[[8.96728]]
553,[[11.387781]]
